local,raca_cor,ano,incidencia_cancer_mama
Fortaleza,Parda,2007,243
Ceará,Parda,2007,462
Nordeste,Parda,2007,3.615
Brasil,Parda,2008,8.033
Fortaleza,Parda,2008,561
Ceará,Parda,2008,909
Nordeste,Parda,2008,4.477
Brasil,Parda,2009,8.845
Fortaleza,Parda,2009,535
Ceará,Parda,2009,908
Nordeste,Parda,2009,4.974
Brasil,Parda,2010,8.959
Fortaleza,Parda,2010,578
Ceará,Parda,2010,1.134
Nordeste,Parda,2010,4.799
Brasil,Parda,2011,9.603
Fortaleza,Parda,2011,673
Ceará,Parda,2011,1.356
Nordeste,Parda,2011,5.401
Brasil,Parda,2012,10.172
Fortaleza,Parda,2012,707
Ceará,Parda,2012,1.411
Nordeste,Parda,2012,5.708
Brasil,Parda,2013,11.146
Fortaleza,Parda,2013,836
Ceará,Parda,2013,1.593
Nordeste,Parda,2013,6.233
Brasil,Parda,2014,12.375
Fortaleza,Parda,2014,870
Ceará,Parda,2014,1.701
Nordeste,Parda,2014,7.138
Brasil,Parda,2015,12.735
Fortaleza,Parda,2015,900
Ceará,Parda,2015,1.775
Nordeste,Parda,2015,7.176
Brasil,Parda,2016,14.431
Fortaleza,Parda,2016,927
Ceará,Parda,2016,1.929
Nordeste,Parda,2016,7.905
Brasil,Parda,2017,14.546
Fortaleza,Parda,2017,866
Ceará,Parda,2017,1.816
Nordeste,Parda,2017,7.480
Brasil,Parda,2018,15.141
Fortaleza,Parda,2018,797
Ceará,Parda,2018,1.725
Nordeste,Parda,2018,7.642
Brasil,Parda,2019,14.036
Fortaleza,Parda,2019,794
Ceará,Parda,2019,1.832
Nordeste,Parda,2019,6.833
Brasil,Parda,2020,9.708
Fortaleza,Parda,2020,546
Ceará,Parda,2020,1.128
Nordeste,Parda,2020,4.469
Brasil,Preta,1932,0
Nordeste,Preta,1932,0
Brasil,Preta,1935,0
Brasil,Preta,1939,0
Brasil,Preta,1943,0
Nordeste,Preta,1943,0
Brasil,Preta,1946,0
Nordeste,Preta,1946,0
Brasil,Preta,1954,0
Brasil,Preta,1955,0
Nordeste,Preta,1955,0
Brasil,Preta,1957,0
Brasil,Preta,1958,0
Nordeste,Preta,1958,0
Brasil,Preta,1959,0
Nordeste,Preta,1959,0
Brasil,Preta,1962,0
Nordeste,Preta,1962,0
Brasil,Preta,1963,0
Fortaleza,Preta,1963,0
Ceará,Preta,1963,0
Nordeste,Preta,1963,0
Brasil,Preta,1965,0
Nordeste,Preta,1965,0
Brasil,Preta,1966,0
Brasil,Preta,1967,1
Nordeste,Preta,1967,1
Brasil,Preta,1970,0
Brasil,Preta,1971,0
Brasil,Preta,1972,0
Nordeste,Preta,1972,0
Brasil,Preta,1973,0
Brasil,Preta,1974,0
Nordeste,Preta,1974,0
Brasil,Preta,1975,0
Brasil,Preta,1976,1
Nordeste,Preta,1976,0
Brasil,Preta,1977,2
Nordeste,Preta,1977,1
Brasil,Preta,1978,0
Nordeste,Preta,1978,0
Brasil,Preta,1979,0
Nordeste,Preta,1979,0
Brasil,Preta,1980,1
Nordeste,Preta,1980,0
Brasil,Preta,1981,1
Nordeste,Preta,1981,0
Brasil,Preta,1982,1
Nordeste,Preta,1982,0
Brasil,Preta,1983,0
Nordeste,Preta,1983,0
Brasil,Preta,1984,0
Nordeste,Preta,1984,0
Brasil,Preta,1985,1
Nordeste,Preta,1985,0
Brasil,Preta,1986,3
Nordeste,Preta,1986,0
Brasil,Preta,1987,0
Nordeste,Preta,1987,0
Brasil,Preta,1988,5
Fortaleza,Preta,1988,0
Ceará,Preta,1988,0
Nordeste,Preta,1988,2
Brasil,Preta,1989,1
Ceará,Preta,1989,0
Nordeste,Preta,1989,1
Brasil,Preta,1990,7
Fortaleza,Preta,1990,1
Ceará,Preta,1990,1
Nordeste,Preta,1990,2
Brasil,Preta,1991,2
Ceará,Preta,1991,0
Nordeste,Preta,1991,1
Brasil,Preta,1992,5
Fortaleza,Preta,1992,0
Ceará,Preta,1992,0
Nordeste,Preta,1992,2
Brasil,Preta,1993,3
Fortaleza,Preta,1993,0
Ceará,Preta,1993,0
Nordeste,Preta,1993,1
Brasil,Preta,1994,9
Fortaleza,Preta,1994,0
Ceará,Preta,1994,0
Nordeste,Preta,1994,2
Brasil,Preta,1995,18
Fortaleza,Preta,1995,0
Ceará,Preta,1995,0
Nordeste,Preta,1995,4
Brasil,Preta,1996,10
Fortaleza,Preta,1996,0
Ceará,Preta,1996,0
Nordeste,Preta,1996,3
Brasil,Preta,1997,32
Fortaleza,Preta,1997,0
Ceará,Preta,1997,0
Nordeste,Preta,1997,6
Brasil,Preta,1998,34
Fortaleza,Preta,1998,0
Ceará,Preta,1998,0
Nordeste,Preta,1998,10
Brasil,Preta,1999,105
Fortaleza,Preta,1999,0
Ceará,Preta,1999,0
Nordeste,Preta,1999,49
Brasil,Preta,2000,472
Fortaleza,Preta,2000,2
Ceará,Preta,2000,3
Nordeste,Preta,2000,68
Brasil,Preta,2001,688
Fortaleza,Preta,2001,1
Ceará,Preta,2001,2
Nordeste,Preta,2001,138
Brasil,Preta,2002,733
Fortaleza,Preta,2002,1
Ceará,Preta,2002,4
Nordeste,Preta,2002,110
Brasil,Preta,2003,789
Fortaleza,Preta,2003,6
Ceará,Preta,2003,6
Nordeste,Preta,2003,142
Brasil,Preta,2004,783
Fortaleza,Preta,2004,1
Ceará,Preta,2004,3
Nordeste,Preta,2004,197
Brasil,Preta,2005,866
Fortaleza,Preta,2005,5
Ceará,Preta,2005,6
Nordeste,Preta,2005,204
Brasil,Preta,2006,993
Fortaleza,Preta,2006,2
Ceará,Preta,2006,3
Nordeste,Preta,2006,196
Brasil,Preta,2007,1.362
Fortaleza,Preta,2007,2
Ceará,Preta,2007,4
Nordeste,Preta,2007,288
Brasil,Preta,2008,1.405
Fortaleza,Preta,2008,9
Ceará,Preta,2008,17
Nordeste,Preta,2008,353
Brasil,Preta,2009,1.358
Fortaleza,Preta,2009,8
Ceará,Preta,2009,17
Nordeste,Preta,2009,339
Brasil,Preta,2010,1.434
Fortaleza,Preta,2010,7
Ceará,Preta,2010,11
Nordeste,Preta,2010,386
Brasil,Preta,2011,1.492
Fortaleza,Preta,2011,10
Ceará,Preta,2011,22
Nordeste,Preta,2011,486
Brasil,Preta,2012,1.603
Fortaleza,Preta,2012,11
Ceará,Preta,2012,22
Nordeste,Preta,2012,507
Brasil,Preta,2013,1.757
Fortaleza,Preta,2013,10
Ceará,Preta,2013,18
Nordeste,Preta,2013,632
Brasil,Preta,2014,1.692
Fortaleza,Preta,2014,8
Ceará,Preta,2014,17
Nordeste,Preta,2014,528
Brasil,Preta,2015,1.911
Fortaleza,Preta,2015,10
Ceará,Preta,2015,13
Nordeste,Preta,2015,653
Brasil,Preta,2016,1.757
Fortaleza,Preta,2016,6
Ceará,Preta,2016,17
Nordeste,Preta,2016,481
Brasil,Preta,2017,1.954
Fortaleza,Preta,2017,5
Ceará,Preta,2017,17
Nordeste,Preta,2017,595
Brasil,Preta,2018,1.934
Fortaleza,Preta,2018,2
Ceará,Preta,2018,3
Nordeste,Preta,2018,499
Brasil,Preta,2019,1.970
Fortaleza,Preta,2019,6
Ceará,Preta,2019,12
Nordeste,Preta,2019,488
Brasil,Preta,2020,1.398
Fortaleza,Preta,2020,3
Ceará,Preta,2020,7
Nordeste,Preta,2020,350
